region,prefecture,commune,nom,categorie,statut,en_service,lon,lat
Maritime,Golfe,Golfe 1,BTCI Lomé Port,Banque,Utilisé,True,1.27572,6.14311
Maritime,Agoè-Nyivé,Agoè-Nyivé 2,COOPEC AD Agence de Legbassito,Micro-Finance,Utilisé,True,1.15224,6.26803
Maritime,Agoè-Nyivé,Agoè-Nyivé 2,WAGES Agence de Legbassito,Micro-Finance,Utilisé,True,1.15197,6.26685
Maritime,Golfe,Golfe 3,Banque Atlantique Agence Agbalepedogan,Banque,Néant,True,1.20826,6.19135
Maritime,Agoè-Nyivé,Agoè-Nyivé 2,FUCEC Togo Agence de Legbassito,Micro-Finance,Utilisé,True,1.15132,6.26716
Maritime,Agoè-Nyivé,Agoè-Nyivé 2,ASJD Agence de Zossime,Micro-Finance,Utilisé,True,1.15107,6.23314
Maritime,Golfe,Golfe 6,BOA Baguida,Banque,Utilisé,True,1.32059,6.16254
Maritime,Golfe,Golfe 6,NSIA Baguida,Banque,Utilisé,True,1.3349,6.16649
Maritime,Golfe,Golfe 6,BIA Togo Baguida,Banque,Utilisé,True,1.31564,6.16122
Maritime,Golfe,Golfe 6,FUCEC Togo Baguida,Micro-Finance,Utilisé,True,1.34466,6.16984
Maritime,Golfe,Golfe 6,Sanlam Baguida,Assurance,Utilisé,True,1.33979,6.16828
Maritime,Golfe,Golfe 2,SPT Aeroport International Gnassingbe Eyadema,Banque,Utilisé,True,1.25225,6.17427
Maritime,Golfe,Golfe 2,ECOBANK Aerogare,Banque,Utilisé,True,1.2521,6.17415
Maritime,Golfe,Golfe 2,NSIA Banque Aeroport International Gnassingbe Eyadema,Banque,Néant,True,1.25298,6.17067
Maritime,Golfe,Golfe 2,ORABANK Aéroport,Banque,Utilisé,True,1.25311,6.17073
Maritime,Golfe,Golfe 2,SPT de L 'aeroport International Gnassingbe Eyadema,Banque,Néant,True,1.25153,6.16822
Maritime,Golfe,Golfe 1,FINAM,Micro-Finance,Abandonné,False,1.24454,6.14383
Maritime,Golfe,Golfe 3,MECIT Agbalépédo,Micro-Finance,Utilisé,True,1.2084,6.19571
Maritime,Golfe,Golfe 1,Institution de Microfinance,Micro-Finance,Utilisé,True,1.26887,6.1543
Maritime,Golfe,Golfe 1,UTB Be Kpehenou,Banque,Utilisé,True,1.23672,6.13838
Maritime,Golfe,Golfe 7,Agence de Transfert Fintech Atilamonou,Micro-Finance,Utilisé,True,1.12829,6.21743
